SolNbr,Sno,Wt,x,y,z,l,w,h,WtLF,SAPer,OrderNbr,Volume
1.0,56,538.8031205371044,0.0,0.0,0.0,4.078666666666667,5.500249999999999,6.157,2.0,50.0,15.0,73.20021527777777
1.0,84,107.17981274008459,0.0,0.0,6.157,2.7433333333333336,4.836,3.83175,2.0,50.0,22.0,48.27333333333333
1.0,29,120.04011469966798,0.0,4.836,6.157,3.6585,1.211,3.4930000000000003,2.0,50.0,5.0,13.954500000000001
1.0,50,463.141,0.0,5.500249999999999,0.0,4.391666666666667,3.788,5.536583333333333,2.0,50.0,12.0,89.25354166666666
1.0,108,236.95494301101903,0.0,6.047000000000001,5.536583333333333,4.968,2.8866666666666667,4.316333333333334,2.0,50.0,22.0,35.98222222222223
1.0,45,443.7,2.7433333333333336,0.0,6.157,2.1866666666666665,2.216,3.499333333333333,2.0,50.0,11.0,91.61905555555553
1.0,104,250.4000535814592,4.078666666666667,0.0,0.0,2.876666666666667,3.752,5.454,2.0,50.0,22.0,54.98888888888889
1.0,94,270.1350908375705,4.078666666666667,2.216,5.454,2.23,2.912,4.51125,2.0,50.0,22.0,41.6
1.0,32,249.23200233602554,4.078666666666667,3.752,0.0,3.6450833333333335,1.68175,2.7405416666666667,2.0,50.0,5.0,27.768895833333332
1.0,107,153.63919281393314,4.391666666666667,5.500249999999999,0.0,4.764,4.066666666666666,5.4126666666666665,2.0,50.0,22.0,59.34
1.0,112,386.04376499416554,4.93,0.0,5.454,3.37875,1.8366666666666667,4.20925,2.0,50.0,23.0,47.61964120370371
1.0,102,245.2197183816781,4.968,5.500249999999999,5.4126666666666665,2.8033333333333337,2.6399999999999997,4.29825,2.0,50.0,22.0,71.06
1.0,49,415.332,6.955333333333334,0.0,0.0,4.21225,3.608,4.884833333333333,2.0,50.0,11.0,64.81620833333332
1.0,87,274.8200326668836,6.955333333333334,1.8366666666666667,4.884833333333333,2.4266666666666667,3.488,4.095833333333333,2.0,50.0,22.0,66.05555555555557
1.0,54,882.303,9.155666666666667,5.500249999999999,0.0,4.235625,4.304,5.2875,2.0,50.0,14.0,81.0253125
